city,companyFullName,education,financeStage,jobNature,positionAdvantage,positionName,salary,workYear
北京,北京天下秀科技股份有限公司,本科,C轮,全职,"团队氛围好,五险一金,节日福利",Python开发工程师,18k-25k,1-3年
深圳,深信服科技股份有限公司,本科,不需要融资,全职,"平台大,发展快,待遇好,福利棒",Python软件开发工程师,15k-20k,1-3年
深圳,深圳市和讯华谷信息技术有限公司,本科,D轮及以上,全职,五险一金、14薪/年、下午茶、工作餐等等,Python开发工程师,10k-20k,1-3年
北京,奇虎360科技有限公司,本科,上市公司,全职,五险一金 补充医疗 免费三餐和班车,Python 开发工程师,25k-35k,3-5年
北京,北京作业盒子科技有限公司,本科,C轮,全职,"大平台,技术牛,好前景,核心职位",python工程师,20k-40k,3-5年
杭州,杭州群核信息技术有限公司,本科,D轮及以上,全职,期权激励、年度旅游、年终丰厚、零食水果,Python研发工程师,15k-23k,1-3年
北京,先花信息技术（北京）有限公司,大专,B轮,全职,带薪年假,python研发工程师,15k-20k,3-5年
深圳,北京市商汤科技开发有限公司,本科,B轮,全职,"人工智能,福利好,技术大牛多,弹性工作",Python开发工程师,15k-30k,3-5年
北京,北京旷视科技有限公司,本科,C轮,全职,平台好；福利多,python工程师,15k-30k,3-5年
北京,光合新知（北京）科技有限公司,不限,C轮,全职,"年假15天,免费早午餐,技术氛围好,弹性不打卡",Python,15k-30k,1-3年
深圳,腾讯科技(深圳)有限公司,本科,上市公司,全职,福利待遇优厚、大平台,Python开发工程师,15k-25k,3-5年
上海,平安科技（深圳）有限公司,本科,不需要融资,全职,世界50强 节日福利 绩效丰厚,Python开发工程师（上海）,15k-30k,不限
北京,北京爱奇艺科技有限公司,硕士,D轮及以上,全职,14薪，12天带薪年假，地铁周边,Python开发工程师,18k-28k,1-3年
深圳,深圳虾皮信息科技有限公司,本科,上市公司,全职,东南亚跨境电商平台、福利棒、美女多,Python开发工程师,15k-30k,1-3年
深圳,深圳晶泰科技有限公司,本科,B轮,全职,"大牛多,公司氛围好,周末双休,成长快",高级Python开发工程师,15k-23k,1-3年
北京,北京天下秀科技股份有限公司,本科,C轮,全职,"团队氛围好,五险一金,节日福利",Python开发工程师,18k-25k,1-3年
深圳,深信服科技股份有限公司,本科,不需要融资,全职,"平台大,发展快,待遇好,福利棒",Python软件开发工程师,15k-20k,1-3年
深圳,深圳市和讯华谷信息技术有限公司,本科,D轮及以上,全职,五险一金、14薪/年、下午茶、工作餐等等,Python开发工程师,10k-20k,1-3年
北京,奇虎360科技有限公司,本科,上市公司,全职,五险一金 补充医疗 免费三餐和班车,Python 开发工程师,25k-35k,3-5年
北京,北京作业盒子科技有限公司,本科,C轮,全职,"大平台,技术牛,好前景,核心职位",python工程师,20k-40k,3-5年
杭州,杭州群核信息技术有限公司,本科,D轮及以上,全职,期权激励、年度旅游、年终丰厚、零食水果,Python研发工程师,15k-23k,1-3年
北京,先花信息技术（北京）有限公司,大专,B轮,全职,带薪年假,python研发工程师,15k-20k,3-5年
深圳,北京市商汤科技开发有限公司,本科,B轮,全职,"人工智能,福利好,技术大牛多,弹性工作",Python开发工程师,15k-30k,3-5年
北京,北京旷视科技有限公司,本科,C轮,全职,平台好；福利多,python工程师,15k-30k,3-5年
北京,光合新知（北京）科技有限公司,不限,C轮,全职,"年假15天,免费早午餐,技术氛围好,弹性不打卡",Python,15k-30k,1-3年
深圳,腾讯科技(深圳)有限公司,本科,上市公司,全职,福利待遇优厚、大平台,Python开发工程师,15k-25k,3-5年
上海,平安科技（深圳）有限公司,本科,不需要融资,全职,世界50强 节日福利 绩效丰厚,Python开发工程师（上海）,15k-30k,不限
北京,北京爱奇艺科技有限公司,硕士,D轮及以上,全职,14薪，12天带薪年假，地铁周边,Python开发工程师,18k-28k,1-3年
深圳,深圳虾皮信息科技有限公司,本科,上市公司,全职,东南亚跨境电商平台、福利棒、美女多,Python开发工程师,15k-30k,1-3年
深圳,深圳晶泰科技有限公司,本科,B轮,全职,"大牛多,公司氛围好,周末双休,成长快",高级Python开发工程师,15k-23k,1-3年
深圳,深信服科技股份有限公司,本科,不需要融资,全职,扁平化管理 超多福利,Python开发工程师,10k-20k,不限
北京,北京旷视科技有限公司,本科,C轮,全职,"技术驱动,极客氛围,大牛团队",Python工程师,20k-40k,1-3年
上海,平安科技（深圳）有限公司,本科,不需要融资,全职,公司发展前景好，福利待遇好,Python开发工程师（上海）,10k-15k,不限
北京,北京三快在线科技有限公司,本科,D轮及以上,全职,"优厚待遇,技术导向",服务端高级开发工程师Golang/Python,35k-45k,3-5年
深圳,北京国双科技有限公司,本科,上市公司,全职,大数据上市公司 福利待遇好 发展空间大,高级python开发工程师,15k-20k,3-5年
成都,成都数联铭品科技有限公司,本科,C轮,全职,"五险一金,技术大牛,大数据,加班补贴",中级Python工程师,10k-15k,3-5年
北京,北京智者天下科技有限公司,本科,D轮及以上,全职,健康三餐 免费健身游泳 大牛团队,Python 开发工程师,18k-36k,1-3年
杭州,杭州牛盾网络技术有限公司,大专,不需要融资,全职,"六险一金,周末双休,员工旅游",Python开发工程师,8k-16k,1-3年
