序号,电影名,年份,类型,导演,评分
1,肖申克的救赎,1994,剧情/犯罪,弗兰克·德拉邦特,豆瓣9.6/IMDB9.3
2,教父,1972,剧情/犯罪,弗朗西斯·福特·科波拉,豆瓣9.2/IMDB9.2
3,教父2,1974,剧情/犯罪,弗朗西斯·福特·科波拉,豆瓣9.1/IMDB9.1
4,蝙蝠侠：黑暗骑士,2008,剧情/动作/科幻,克里斯托弗·诺兰,豆瓣8.9/IMDB9.0
5,低俗小说,1994,剧情/犯罪,昆汀·塔伦蒂诺,豆瓣8.7/IMDB8.9
6,十二怒汉,1957,剧情,西德尼·吕美特,豆瓣9.3/IMDB8.9
7,辛德勒的名单,1993,剧情/历史/战争,史蒂文·斯皮尔伯格,豆瓣9.4/IMDB8.9
8,黄金三镖客,1966,西部/冒险,赛尔乔·莱翁内,豆瓣9.1/IMDB8.9
9,指环王3：王者无敌,2003,剧情/动作/奇幻,彼得·杰克逊,豆瓣9.1/IMDB8.9
10,搏击俱乐部,1999,剧情/动作/悬疑,大卫·芬奇,豆瓣9.0/IMDB8.9
11,指环王1：魔戒再现,2001,剧情/动作/奇幻,彼得·杰克逊,豆瓣8.9/IMDB8.8
12,星球大战2：帝国反击战,1980,动作/科幻/冒险,厄文·克什纳,豆瓣8.2/IMDB8.8
13,阿甘正传,1994,剧情/爱情,罗伯特·泽米吉斯,豆瓣9.4/IMDB8.8
14,盗梦空间,2010,剧情/动作/科幻,克里斯托弗·诺兰,豆瓣9.2/IMDB8.8
15,飞越疯人院,1975,剧情,米洛斯·福尔曼,豆瓣9.0/IMDB8.7
16,指环王2：双塔奇兵,2002,剧情/动作/奇幻,彼得·杰克逊,豆瓣8.9/IMDB8.7
17,好家伙,1990,剧情/喜剧/传记,马丁·斯科塞斯,豆瓣8.3/IMDB8.7
18,黑客帝国,1999,动作/科幻,安迪·沃卓斯基,豆瓣8.7/IMDB8.7
19,星球大战,1977,动作/科幻/奇幻,乔治·卢卡斯,豆瓣8.3/IMDB8.7
20,七武士,1954,剧情/动作/冒险,黑泽明,豆瓣9.1/IMDB8.7
21,上帝之城,2002,剧情/犯罪,卡迪亚·兰德,豆瓣8.9/IMDB8.7
22,七宗罪,1995,剧情/悬疑/惊悚,大卫·芬奇,豆瓣8.7/IMDB8.7
23,沉默的羔羊,1991,剧情/惊悚/犯罪,乔纳森·戴米,豆瓣8.7/IMDB8.6
