1999,M·奈特·沙马兰,剧情/悬疑/恐怖,豆瓣8.8/IMDB8.2,第六感
2003,詹姆斯·曼高德,剧情/悬疑/惊悚,豆瓣8.6/IMDB7.3,致命ID
1980,斯坦利·库布里克,剧情/悬疑/恐怖,豆瓣8.0/IMDB8.5,闪灵
1997,文森佐·纳塔利,科幻/悬疑/惊悚,豆瓣8.0/IMDB7.3,心慌方
2005,Jeffrey Shuter,动画/惊悚/短片,豆瓣7.9/IMDB6.4,电锯惊魂：重生
2013,温子仁,惊悚/恐怖,豆瓣7.8/IMDB6.6,潜伏2
2004,埃德加·赖特,喜剧/惊悚,豆瓣7.7/IMDB8.0,僵尸肖恩
2013,麦浚龙,剧情/动作/恐怖,豆瓣7.7/IMDB6.3,僵尸
1973,威廉·弗莱德金,恐怖,豆瓣7.6/IMDB8.0,驱魔人
2013,温子仁,悬疑/恐怖,豆瓣7.6/IMDB7.5,招魂
2007,豪梅·巴拿盖鲁,悬疑/恐怖,豆瓣7.5/IMDB7.5,死亡录像
2008,班庄·比辛达拿刚,剧情/悬疑/惊悚,豆瓣7.4/IMDB6.8,死神的十字路口
2009,D·凯瑞·普瑞尔,喜剧/恐怖,豆瓣7.4/IMDB6.4,亡灵
2007,温子仁,悬疑/恐怖,豆瓣7.4/IMDB6.2,死寂
2007,米凯尔·哈弗斯特罗姆,惊悚/恐怖,豆瓣7.3/IMDB6.8,幻影凶间
2002,清水崇,悬疑/恐怖,豆瓣7.3/IMDB6.7,咒怨
1988,Tony Randel,剧情/惊悚/恐怖,豆瓣7.3/IMDB6.5,养鬼吃人2
1987,山姆·雷米,喜剧/恐怖,豆瓣7.2/IMDB7.8,鬼玩人2
2009,班庄·比辛达拿刚,恐怖,豆瓣7.2/IMDB7.0,鬼乱5
2003,清水崇,恐怖,豆瓣7.2/IMDB6.3,咒怨2
2011,温子仁,悬疑/恐怖,豆瓣7.1/IMDB6.8,潜伏
2002,彭发,剧情/惊悚/恐怖,豆瓣7.1/IMDB6.7,见鬼
2013,金容钧,悬疑/惊悚/犯罪,豆瓣7.1/IMDB6.3,杀人漫画
1996,埃里克 雷德 (Eric Red),恐怖,豆瓣7.1/IMDB5.6,鬼哭神嚎
1981,山姆·雷米,恐怖,豆瓣7.0/IMDB7.6,鬼玩人
2009,马库斯·邓斯坦,惊悚/恐怖/犯罪,豆瓣7.0/IMDB6.4,夜魔
1993,山姆·雷米,喜剧/恐怖/奇幻,豆瓣6.8/IMDB7.6,鬼玩人3：魔界英豪
2008,Sopon Sukdapisit,惊悚/恐怖,豆瓣6.8/IMDB6.1,厉鬼将映
2009,豪梅·巴拿盖鲁,悬疑/惊悚/恐怖,豆瓣6.6/IMDB6.6,死亡录像2
2011,Matthijs van Heijningen Jr.,科幻/悬疑/惊悚,豆瓣6.6/IMDB6.2,怪形前传
2005,Andrew Douglas,剧情/悬疑/惊悚,豆瓣6.4/IMDB6.0,鬼哭神嚎
2015,雷·沃纳尔,恐怖,豆瓣5.8/IMDB6.6,潜伏3
