序号,电影名,年份,类型,导演,评分
1,肖申克的救赎,1994,剧情/犯罪,弗兰克·德拉邦特,豆瓣9.6/IMDB9.3
2,控方证人,1957,剧情/悬疑/犯罪,比利·怀德,豆瓣9.5/IMDB8.4
3,霸王别姬,1993,剧情/爱情/同性,陈凯歌,豆瓣9.4/IMDB8.1
4,美丽人生,1997,剧情/战争,罗伯托·贝尼尼,豆瓣9.4/IMDB8.6
5,辛德勒的名单,1993,剧情/历史/战争,史蒂文·斯皮尔伯格,豆瓣9.4/IMDB8.9
6,阿甘正传,1994,剧情/爱情,罗伯特·泽米吉斯,豆瓣9.4/IMDB8.8
7,这个杀手不太冷,1994,剧情/动作/犯罪,吕克·贝松,豆瓣9.4/IMDB8.6
8,十二怒汉,1957,剧情,西德尼·吕美特,豆瓣9.3/IMDB8.9
9,机器人总动员,2008,喜剧/爱情/科幻,安德鲁·斯坦顿,豆瓣9.3/IMDB8.4
10,海豚湾,2009,纪录片,路易·西霍尤斯,豆瓣9.3/IMDB8.5
11,城市之光,1931,剧情/喜剧/爱情,查理·卓别林,豆瓣9.2/IMDB8.6
12,乱世佳人,1939,剧情/爱情/战争,维克多·弗莱明,豆瓣9.2/IMDB8.2
13,大闹天宫,1961,动画/奇幻,万籁鸣,豆瓣9.2/IMDB8.3
14,教父,1972,剧情/犯罪,弗朗西斯·福特·科波拉,豆瓣9.2/IMDB9.2
15,海上钢琴师,1998,剧情/音乐,朱塞佩·托纳多雷,豆瓣9.2/IMDB8.1
16,千与千寻,2001,剧情/动画/奇幻,宫崎骏,豆瓣9.2/IMDB8.6
17,放牛班的春天,2004,剧情/音乐/儿童,克里斯托夫·巴拉蒂,豆瓣9.2/IMDB7.9
18,忠犬八公的故事,2009,剧情,莱塞·霍尔斯道姆,豆瓣9.2/IMDB8.2
19,盗梦空间,2010,剧情/动作/科幻,克里斯托弗·诺兰,豆瓣9.2/IMDB8.8
20,摩登时代,1936,剧情/喜剧/爱情,查理·卓别林,豆瓣9.1/IMDB8.6
21,东京物语,1953,剧情/家庭,小津安二郎,豆瓣9.1/IMDB8.3
22,七武士,1954,剧情/动作/冒险,黑泽明,豆瓣9.1/IMDB8.7
23,黄金三镖客,1966,西部/冒险,赛尔乔·莱翁内,豆瓣9.1/IMDB8.9
24,教父2,1974,剧情/犯罪,弗朗西斯·福特·科波拉,豆瓣9.1/IMDB9.1
25,美国往事,1984,剧情/犯罪,赛尔乔·莱翁内,豆瓣9.1/IMDB8.4
26,龙猫,1988,动画/奇幻,宫崎骏,豆瓣9.1/IMDB8.3
